FOLIO INSTITUCIONAL,MÓDULO,FOLIO DE MÓDULO,SEMANA,ESTACIÓN,LÍNEA,FECHA,DÍA,MES,HORA DE AGRESIÓN,HORA DE ATENCIÓN,HORA DE CIERRE DE ATENCIÓN,DESCRIPCIÓN,MODO DE ACCIÓN,DELITO,LUGAR DE LOS HECHOS,SEXO,EDAD,OCUPACIÓN ESPECÍFICA,OCUPACIÓN GENERAL,ESCOLARIDAD DE LA VICTIMA,DELEGACIÓN O MUNICIPIO,ESTADO,SEXO AGRESOR,EDAD  AGRESOR,OCUPACIÓN ESPECÍFICA 2,OCUPACIÓN GENERAL 2,ESCOLARIDAD,DELEGACIÓN O MUNICIPIO 2,ESTADO2,SIN DETENIDO,OBSERVACIONES,OBSTÁCULOS DE COLABORACIÒN,AUTORIDAD,CORPORACION REMITENTE
1944,BALDERAS,B-001,DEL 06 AL 10 DE ENERO DE 2014,SAN PEDRO DE LOS PINOS,7,07 DE ENERO DE 2014,MARTES,ENERO,18:50,19:30,00:46,TOCAMIENTO EN GLÚTEO,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,23,EMPLEADA,PROFESIONISTA,PROFESIONAL,MUNICIPIO DE CHIMALHUACÁN,ESTADO DE MÉXICO,HOMBRE,32,RESIDENTE DE OBRA,EMPLEADO,PROFESIONAL,MUNICIPIO DE IXTAPALUCA,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PA
1945,HIDALGO,H-001,DEL 06 AL 10 DE ENERO DE 2014,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO PARTICULAR DE LA PAREJA DE LA VÍCTIMA),FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO PARTICULAR DE LA VÍCTIMA),08 DE ENERO DE 2014,MIÉRCOLES,ENERO,10:00 DEL 25 DE DICIEMBRE DEL 2013,16:37,21:30,VIOLENCIA FAMILIAR (VERBAL Y FÍSICA),AGRESIVA VERBAL Y FÍSICAMENTE,VIOLENCIA FAMILIAR,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO PARTICULAR DE LA PAREJA DE LA VÍCTIMA),MUJER,39,DESEMPLEADA,DESEMPLEADA,PROFESIONAL,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,HOMBRE,54,PROFESOR,EMPLEADO,PROFESIONAL,DELEGACIÓN COYOACÁN,DF,SIN DETENIDO,NINGUNA,NINGUNO,OTRA INSTANCIA (CAVI),SIN DETENIDO
1946,BALDERAS,B-002,DEL 06 AL 10 DE ENERO DE 2014,BALDERAS,1,08 DE ENERO DE 2014,MIÉRCOLES,ENERO,18:15,18:50,21:00,TOCAMIENTO EN GLÚTEOS Y ÁREA PÚBICA,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,14,ESTUDIANTE,ESTUDIANTE,SECUNDARIA,DELEGACIÓN CUAUHTÉMOC,DF,HOMBRE/HOMBRE,50/20,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DETENIDO,LA VÍCTIMA REFIERE QUE FUERON DOS AGRESORES ,NINGUNO,OTRA INSTANCIA (CTA),SIN DETENIDO
1947,PANTITLÁN,P-001,DEL 06 AL 10 DE ENERO DE 2014,OCEANÍA,5,09 DE ENERO DE 2014,JUEVES,ENERO,13:10,14:01,19:30,TOCAMIENTO EN GLÚTEO,AGRESIVA VERBAL Y FÍSICAMENTE,ABUSO SEXUAL,ESCALERAS FIJAS DE CORRESPONDENCIA,MUJER,31,EMPLEADA,EMPLEADA,PREPARATORIA INCOMPLETA,DELEGACIÓN MIGUEL HIDALGO,DF,HOMBRE,63,VENDEDOR AMBULANTE,COMERCIANTE,BACHILLERATO,MUNICIPIO DE IXTAPALUCA,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PA
1948,PINO SUÁREZ,PS-001,DEL 13 AL 17 DE ENERO DE 2014,MERCED,1,13 DE ENERO DE 2014,LUNES,ENERO,09:35,09:43,10:15,TOCAMIENTO EN GENITALES,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,HOMBRE,18,ESTUDIANTE,ESTUDIANTE,PREPARATORIA,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,HOMBRE,36,MESERO,EMPLEADO,SECUNDARIA,MUNICIPIO DE NEZAHUALCÓYOTL,ESTADO DE MÉXICO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PBI
1949,PINO SUÁREZ,PS-002,DEL 13 AL 17 DE ENERO DE 2014,SANTA ANITA,8,13 DE ENERO DE 2014,LUNES,ENERO,13:40,14:55,21:40,TOMA DE FOTOGRAFÍAS,PERSISTENTE Y POCO AGRESIVA,ACOSO SEXUAL,CUARTO VAGÓN,MUJER,27,EMPLEADA,EMPLEADA,PROFESIONAL INCOMPLETA,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,59,SEGURIDAD PRIVADA,EMPLEADO,SECUNDARIA,DELEGACIÓN IZTAPALAPA,DF,NA,NINGUNA,NINGUNO,FDS,PBI
1950,BALDERAS,B-003,DEL 13 AL 17 DE ENERO DE 2014,INSURGENTES,1,13 DE ENERO DE 2014,LUNES,ENERO,16:10,16:36,17:35,TOCAMIENTO EN GLÚTEO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,24,VARISTA,EMPLEADA,PREPARATORIA,DELEGACIÓN GUSTAVO A. MADERO,DF,HOMBRE,50,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DETENIDO,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,SIN DETENIDO
1951,HIDALGO,H-002,DEL 13 AL 17 DE ENERO DE 2014,BELLAS ARTES,2,16 DE ENERO DE 2014,JUEVES,ENERO,10:13,10:59,18:36,TOCAMIENTO EN GLÚTEO,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,ANDEN ,MUJER,22,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,DELEGACIÓN MIGUEL HIDALGO,DF,HOMBRE,18,COMERCIANTE,COMERCIANTE,PREPARATORIA,MUNICIPIO DE TEPEJI DEL RIO,HIDALGO,NA,NINGUNA,NINGUNO,FDS,PBI
1952,PINO SUÁREZ,PS-003,DEL 13 AL 17 DE ENERO DE 2014,GÓMEZ FARIAS,1,16 DE ENERO DE 2014,JUEVES,ENERO,09:40,10:23,13:40,TOCAMIENTO EN GLÚTEO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,32,EMPLEADA,EMPLEADA,SECUNDARIA,MUNICIPIO DE IXTAPALUCA,ESTADO DE MÉXICO,HOMBRE,48,VENDEDOR DE ÓPTICA,EMPLEADO,SECUNDARIA,DELEGACIÓN IZTAPALAPA,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN LA FDS,NINGUNO,DC,PBI
1953,PINO SUÁREZ,PS-004,DEL 13 AL 17 DE ENERO DE 2014,CUATRO CAMINOS,2,16 DE ENERO DE 2014,JUEVES,ENERO,17:55,19:00,19:55,TOCAMIENTO EN GLÚTEO Y PIERNA,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,TERCER VAGÓN,MUJER,27,TAREAS DEL HOGAR,TAREAS DEL HOGAR,PRIMARIA,DELEGACIÓN COYOACÁN,DF,HOMBRE,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PBI
