AÑO,DELEGACION,MODALIDAD,TIPO,SUBTIPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
2013,ALVARO OBREGON,DELITOS PATRIMONIALES,ABUSO DE CONFIANZA,ABUSO DE CONFIANZA,11,11,21,12,18,9,10,12,14,11,9,4
2013,ALVARO OBREGON,DELITOS PATRIMONIALES,DAÑO EN PROPIEDAD AJENA,DAÑO EN PROPIEDAD AJENA,69,65,55,60,53,80,54,85,75,78,62,68
2013,ALVARO OBREGON,DELITOS PATRIMONIALES,DESPOJO,CON VIOLENCIA,0,0,0,0,0,0,0,0,0,0,0,0
2013,ALVARO OBREGON,DELITOS PATRIMONIALES,DESPOJO,SIN DATOS,13,6,20,14,14,9,9,13,11,15,15,13
2013,ALVARO OBREGON,DELITOS PATRIMONIALES,DESPOJO,SIN VIOLENCIA,0,0,0,0,0,0,0,0,0,0,0,0
2013,ALVARO OBREGON,DELITOS PATRIMONIALES,EXTORSION,EXTORSION,10,2,7,5,4,5,2,0,7,1,3,3
2013,ALVARO OBREGON,DELITOS PATRIMONIALES,FRAUDE,FRAUDE,38,53,47,35,43,52,58,46,38,51,50,39
2013,ALVARO OBREGON,DELITOS SEXUALES (VIOLACION),VIOLACION,VIOLACION,8,5,1,5,1,2,3,3,2,2,2,1
2013,ALVARO OBREGON,HOMICIDIOS,CULPOSOS,CON ARMA BLANCA,0,0,0,0,0,0,0,0,0,0,0,0
2013,ALVARO OBREGON,HOMICIDIOS,CULPOSOS,CON ARMA DE FUEGO,0,0,0,1,0,0,0,0,0,0,0,0
2013,ALVARO OBREGON,HOMICIDIOS,CULPOSOS,OTROS,5,2,2,5,1,2,2,3,1,3,4,6
2013,ALVARO OBREGON,HOMICIDIOS,CULPOSOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
2013,ALVARO OBREGON,HOMICIDIOS,DOLOSOS,CON ARMA BLANCA,1,1,0,0,2,0,2,0,1,0,1,0
2013,ALVARO OBREGON,HOMICIDIOS,DOLOSOS,CON ARMA DE FUEGO,4,1,2,1,3,4,1,1,4,5,2,1
2013,ALVARO OBREGON,HOMICIDIOS,DOLOSOS,OTROS,2,0,1,3,4,0,1,1,0,3,3,1
2013,ALVARO OBREGON,HOMICIDIOS,DOLOSOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
2013,ALVARO OBREGON,LESIONES,CULPOSAS,CON ARMA BLANCA,0,0,0,0,0,0,0,0,0,0,0,0
2013,ALVARO OBREGON,LESIONES,CULPOSAS,CON ARMA DE FUEGO,0,0,0,0,0,0,0,0,0,0,0,0
2013,ALVARO OBREGON,LESIONES,CULPOSAS,OTROS,35,33,32,32,29,20,24,37,29,32,27,26
2013,ALVARO OBREGON,LESIONES,CULPOSAS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
2013,ALVARO OBREGON,LESIONES,DOLOSAS,CON ARMA BLANCA,7,5,8,9,5,8,5,5,8,9,5,8
2013,ALVARO OBREGON,LESIONES,DOLOSAS,CON ARMA DE FUEGO,8,9,2,11,6,5,5,5,8,8,9,11
2013,ALVARO OBREGON,LESIONES,DOLOSAS,OTROS,22,26,39,21,35,33,26,31,30,44,31,34
2013,ALVARO OBREGON,LESIONES,DOLOSAS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
2013,ALVARO OBREGON,OTROS DELITOS,AMENAZAS,AMENAZAS,78,73,66,65,63,71,57,64,66,58,64,48
2013,ALVARO OBREGON,OTROS DELITOS,ESTUPRO,ESTUPRO,0,1,0,0,0,0,0,0,0,1,0,0
2013,ALVARO OBREGON,OTROS DELITOS,OTROS SEXUALES,OTROS SEXUALES,13,15,12,12,13,12,9,14,11,3,11,6
2013,ALVARO OBREGON,OTROS DELITOS,RESTO DE LOS DELITOS (OTROS),RESTO DE LOS DELITOS (OTROS),150,146,142,162,154,126,159,117,133,144,110,154
2013,ALVARO OBREGON,PRIV. DE LA LIBERTAD (SECUESTRO),SECUESTRO,SECUESTRO,0,0,0,0,0,0,0,0,0,0,0,0
2013,ALVARO OBREGON,ROBO COMUN,CON VIOLENCIA,A CASA HABITACION,2,4,2,4,6,3,5,4,6,1,6,4
2013,ALVARO OBREGON,ROBO COMUN,CON VIOLENCIA,A NEGOCIO,36,18,37,24,29,27,33,30,19,23,32,14
2013,ALVARO OBREGON,ROBO COMUN,CON VIOLENCIA,A TRANSEUNTES,117,108,138,122,141,110,120,124,99,124,114,104
2013,ALVARO OBREGON,ROBO COMUN,CON VIOLENCIA,A TRANSPORTISTAS,1,2,1,0,0,1,0,0,0,0,0,0
2013,ALVARO OBREGON,ROBO COMUN,CON VIOLENCIA,DE VEHICULOS,21,19,15,16,13,14,10,25,16,37,26,21
2013,ALVARO OBREGON,ROBO COMUN,CON VIOLENCIA,OTROS,8,15,15,12,8,14,16,15,15,14,15,10
2013,ALVARO OBREGON,ROBO COMUN,CON VIOLENCIA,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
2013,ALVARO OBREGON,ROBO COMUN,SIN VIOLENCIA,A CASA HABITACION,34,42,45,47,35,40,43,35,37,46,38,36
2013,ALVARO OBREGON,ROBO COMUN,SIN VIOLENCIA,A NEGOCIO,52,40,42,63,41,37,53,48,41,34,52,43
2013,ALVARO OBREGON,ROBO COMUN,SIN VIOLENCIA,A TRANSEUNTES,14,12,12,17,11,9,13,7,10,13,11,4
2013,ALVARO OBREGON,ROBO COMUN,SIN VIOLENCIA,A TRANSPORTISTAS,0,0,0,0,0,0,0,0,0,0,0,0
2013,ALVARO OBREGON,ROBO COMUN,SIN VIOLENCIA,DE VEHICULOS,65,58,62,53,72,62,69,87,68,55,65,57
2013,ALVARO OBREGON,ROBO COMUN,SIN VIOLENCIA,OTROS,104,91,105,116,138,114,131,136,132,139,125,126
2013,ALVARO OBREGON,ROBO COMUN,SIN VIOLENCIA,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0
